"time","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"12/03/2026 00:00:00","BZN|DE-LU","Sequence 1","110.37","",""
"12/03/2026 00:00:00","BZN|DE-LU","Sequence 2","99.25","",""
"12/03/2026 01:00:00","BZN|DE-LU","Sequence 1","99.67","",""
"12/03/2026 01:00:00","BZN|DE-LU","Sequence 2","93.66","",""
"12/03/2026 02:00:00","BZN|DE-LU","Sequence 1","89.82","",""
"12/03/2026 02:00:00","BZN|DE-LU","Sequence 2","84.60","",""
"12/03/2026 03:00:00","BZN|DE-LU","Sequence 1","91.21","",""
"12/03/2026 03:00:00","BZN|DE-LU","Sequence 2","82.56","",""
"12/03/2026 04:00:00","BZN|DE-LU","Sequence 1","92.93","",""
"12/03/2026 04:00:00","BZN|DE-LU","Sequence 2","78.50","",""
"12/03/2026 05:00:00","BZN|DE-LU","Sequence 1","91.27","",""
"12/03/2026 05:00:00","BZN|DE-LU","Sequence 2","90.24","",""
"12/03/2026 06:00:00","BZN|DE-LU","Sequence 1","109.44","",""
"12/03/2026 06:00:00","BZN|DE-LU","Sequence 2","95.09","",""
"12/03/2026 07:00:00","BZN|DE-LU","Sequence 1","151.64","",""
"12/03/2026 07:00:00","BZN|DE-LU","Sequence 2","144.99","",""
"12/03/2026 08:00:00","BZN|DE-LU","Sequence 1","134.43","",""
"12/03/2026 08:00:00","BZN|DE-LU","Sequence 2","116.60","",""
"12/03/2026 09:00:00","BZN|DE-LU","Sequence 1","115.21","",""
"12/03/2026 09:00:00","BZN|DE-LU","Sequence 2","104.38","",""
"12/03/2026 10:00:00","BZN|DE-LU","Sequence 1","73.06","",""
"12/03/2026 10:00:00","BZN|DE-LU","Sequence 2","51.50","",""
"12/03/2026 11:00:00","BZN|DE-LU","Sequence 1","2.33","",""
"12/03/2026 11:00:00","BZN|DE-LU","Sequence 2","8.67","",""
"12/03/2026 12:00:00","BZN|DE-LU","Sequence 1","-0.61","",""
"12/03/2026 12:00:00","BZN|DE-LU","Sequence 2","2.47","",""
"12/03/2026 13:00:00","BZN|DE-LU","Sequence 1","-1.83","",""
"12/03/2026 13:00:00","BZN|DE-LU","Sequence 2","2.03","",""
"12/03/2026 14:00:00","BZN|DE-LU","Sequence 1","-1.72","",""
"12/03/2026 14:00:00","BZN|DE-LU","Sequence 2","-2.59","",""
"12/03/2026 15:00:00","BZN|DE-LU","Sequence 1","0.00","",""
"12/03/2026 15:00:00","BZN|DE-LU","Sequence 2","1.31","",""
"12/03/2026 16:00:00","BZN|DE-LU","Sequence 1","10.03","",""
"12/03/2026 16:00:00","BZN|DE-LU","Sequence 2","30.05","",""
"12/03/2026 17:00:00","BZN|DE-LU","Sequence 1","67.62","",""
"12/03/2026 17:00:00","BZN|DE-LU","Sequence 2","77.36","",""
"12/03/2026 18:00:00","BZN|DE-LU","Sequence 1","120.33","",""
"12/03/2026 18:00:00","BZN|DE-LU","Sequence 2","119.92","",""
"12/03/2026 19:00:00","BZN|DE-LU","Sequence 1","119.65","",""
"12/03/2026 19:00:00","BZN|DE-LU","Sequence 2","113.03","",""
"12/03/2026 20:00:00","BZN|DE-LU","Sequence 1","97.66","",""
"12/03/2026 20:00:00","BZN|DE-LU","Sequence 2","87.40","",""
"12/03/2026 21:00:00","BZN|DE-LU","Sequence 1","78.54","",""
"12/03/2026 21:00:00","BZN|DE-LU","Sequence 2","73.10","",""
"12/03/2026 22:00:00","BZN|DE-LU","Sequence 1","83.08","",""
"12/03/2026 22:00:00","BZN|DE-LU","Sequence 2","64.90","",""
"12/03/2026 23:00:00","BZN|DE-LU","Sequence 1","24.20","",""
"12/03/2026 23:00:00","BZN|DE-LU","Sequence 2","35.04","",""
