"time","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"15/07/2025 00:00","BZN|DE-LU","44900.77","46067.39"
"15/07/2025 01:00","BZN|DE-LU","42279.36","43894.79"
"15/07/2025 02:00","BZN|DE-LU","40699.32","42565.14"
"15/07/2025 03:00","BZN|DE-LU","40279.55","42456.25"
"15/07/2025 04:00","BZN|DE-LU","41351.81","42694.39"
"15/07/2025 05:00","BZN|DE-LU","42847.17","44516.91"
"15/07/2025 06:00","BZN|DE-LU","47495.45","48691.57"
"15/07/2025 07:00","BZN|DE-LU","53293.73","54682.12"
"15/07/2025 08:00","BZN|DE-LU","56413.50","58805.36"
"15/07/2025 09:00","BZN|DE-LU","57790.27","60490.70"
"15/07/2025 10:00","BZN|DE-LU","58954.53","61970.84"
"15/07/2025 11:00","BZN|DE-LU","60081.60","62752.28"
"15/07/2025 12:00","BZN|DE-LU","57499.43","62496.38"
"15/07/2025 13:00","BZN|DE-LU","57724.93","61291.25"
"15/07/2025 14:00","BZN|DE-LU","54652.22","59989.99"
"15/07/2025 15:00","BZN|DE-LU","56743.68","59437.11"
"15/07/2025 16:00","BZN|DE-LU","55310.65","58584.02"
"15/07/2025 17:00","BZN|DE-LU","55135.82","58181.83"
"15/07/2025 18:00","BZN|DE-LU","55912.13","57739.98"
"15/07/2025 19:00","BZN|DE-LU","57020.28","57366.00"
"15/07/2025 20:00","BZN|DE-LU","55543.60","55707.25"
"15/07/2025 21:00","BZN|DE-LU","53118.11","53973.60"
"15/07/2025 22:00","BZN|DE-LU","50815.06","51804.24"
"15/07/2025 23:00","BZN|DE-LU","47494.39","48565.30"
